"id","artist","title","price","label","labelnum","pic","created_at","updated_at"
276,"ROBERT WILKINS","THE ORIGINAL ROLLING STONE (180 GRAM)",10,"YAZ","1077",,,
277,"ROGER (ZAPP)","THE MANY FACETS OF ROGER (180 GRAM)",10.5,"WB","3594",,,
278,"ROMEO MUST DIE","THE ALBUM (AALIYAH / DMX / JOE / GINUWINE) 2 LP'S",5,"SMVNL","160040",,,
279,"RON ELLIOTT","THE CANDLESTICKMAKER (180 GRAM)",7,"WB","1833",,,
280,"DOLEMITE - SOUNDTRACK","RUDY RAY MOORE",6.5,"GENE","2501",,,
281,"RUDY RAY MOORE","DOLEMITE FOR PRESIDENT",6.5,"DOLEM","101",,,
282,"RUDY RAY MOORE","DOLEMITE FOR PRESIDENT",7,"GENE","2502",,,
283,"RUDY RAY MOORE","EAT OUT MORE OFTEN",6.5,"KENT","1",,,
284,"RUDY RAY MOORE","THE COCKPIT - THE THIRD RUDY RAY MOORE ALBUM",7,"KENT","6",,,
285,"RUDY RAY MOORE","THE SECOND RUDY RAY MOORE ALBUM ""THIS PUSSY BELONGS TO ME""",6.5,"KENT","2",,,
286,"RUDY RAY MOORE","THE TURNING POINT",6.5,"GENE","2500",,,
287,"RUDY RAY MOORE","THIS AIN'T NO WHITE CHRISTMAS",6.5,"DOLEM","102",,,
288,"SABU MARTINEZ","& HIS JAZZ-ESPAGNOLE",7,"ALE","145",,,
289,"SABU MARTINEZ","AFRO TEMPLE",7.5,"EFG","7341",,,
290,"SAINTE ANTHONY'S FYRE","SAINTE ANTHONY'S FYRE",8,"ZONK","1",,,
291,"SCRAPPER BLACKWELL","THE VIRTUOSO GUITAR OF (180 GRAM)",10,"YAZ","1019",,,
292,"SEX PISTOLS","SEX, ANARCHY & ROCK N' ROLL SWINDLE",7,"ANARC","3553",,,
293,"SEX PISTOLS","SEX, ANARCHY & ROCK N' ROLL SWINDLE (180 GRAM)",8,"ANARC","3553H",,,
294,"SHANGRI-LAS","LEADER OF THE PACK",7,"REDBI","101",,,
295,"SHUGGIE OTIS","FREEDOM FLIGHT (180 GRAM)",10.5,"EPIC","743879",,,
296,"SHUGGIE OTIS","HERE COMES SHUGGIE OTIS (180 GRAM)",10.5,"EPIC","743877",,,
297,"SHUGGIE OTIS","INSPIRATION INFORMATION",10.5,"EPIC","747285",,,
298,"SKIP JAMES","DEVIL GOT MY WOMAN",7,"ATARD","3666",,,
299,"SKIP JAMES","THE COMPLETE 1931 SESSION (180 GRAM)",10,"YAZ","1072",,,
300,"SON HOUSE","FATHER OF FOLK BLUES (180 GRAM)",10.5,"COLUM","9217",,,
301,"SPIDERMAN 3 - ORIGINAL SOUNDTRACK (2 LP'S)","LTD EDITION NUMBERED PICTURE DISCS SET 1 OF 4",8.5,"RECOR","4958-1",,,
302,"SPIDERMAN 3 - ORIGINAL SOUNDTRACK (2 LP'S)","LTD EDITION NUMBERED PICTURE DISCS SET 2 OF 4",8.5,"RECOR","49939-2",,,
303,"SPIDERMAN 3 - ORIGINAL SOUNDTRACK (2 LP'S)","LTD EDITION NUMBERED PICTURE DISCS SET 3 OF 4",8.5,"RECOR","49939-3",,,
304,"SPIDERMAN 3 - ORIGINAL SOUNDTRACK (2 LP'S)","LTD EDITION NUMBERED PICTURE DISCS SET 4 OF 4",8.5,"RECOR","49938-4",,,
305,"STEPHEN STILLS","MANASSAS (2 180 GRAM LP'S)",18,"RHI","903",,,
306,"STEVIE WONDER","IN SQUARE CIRCLE",6,"MOT","6134",,,
307,"SUN RA","OF MYTHIC WORLDS",8,"PHJZ","1007",,,
308,"SUN RA","LANQUIDITY",8,"PHJZ","666",,,
309,"SUN RA","LANQUIDITY (COLOR)",9,"PHJZ","666C",,,
310,"SUNNY MURRAY'S UNTOUCHABLE FACTOR","APPLECORES",7.5,"PHJZ","4",,,
311,"SWEAT BAND (BOOTSY/MACEO/FRED WESLEY)","SWEAT BAND",3,"CBS","36857",,,
312,"T.I. (BUSTA RHYMES / EMINEM / JAY-Z)","VS T.I.P. (NELLY / WYCLEF)",6,"ATL","201468",,,
313,"TERRY RILEY","A RAINBOW IN CURVED AIR (180 GRAM)",10,"COLUM","749408",,,
314,"TERRY RILEY","IN C (180 GRAM)",14,"COULM","7178",,,
315,"THE BAND (180 GRAM)","THE CAPITOL ALBUMS 1968-77 (8 LP'S)",77.5,"CAP","71201H",,,
316,"THELONIOUS MONK","IT'S MONK TIME (180 GRAM)",12.9,"COLUM","8984H",,,
317,"THELONIOUS MONK","MONK. (180 GRAM)",12.9,"COLUM","9091",,,
318,"THIN LIZZY","THUNDER AND LIGHTINING (180 GR) DOWNLOAD VOUCHER",17.3,"VERT","54258",,,
319,"TOM SCOTT","RURAL STILL LIFE (180 GRAM PRESSING)",11.5,"IMPL","9171",,,
320,"TOM WAITS","ONE FROM THE HEART (180 GRAM)",13.5,"COLUM","746215",,,
321,"TOM WAITS","SWORDFISHTROMBONES",13.6,"ISL","24691",,,
322,"TOMS","THE TOMS",7,"BSHEE","1",,,
323,"TOO $HORT","LIFE IS (180 GRAM VINYL)",10.5,"JIV","755997",,,
324,"TWISTED SISTER","COME OUT AND PLAY",7,"ATL","81275",,,
325,"VIOLINAIRES","GROOVIN' WITH JESUS",8,"CHCK","10067",,,
326,"WELDON IRVINE","SINBAD",8,"BMG","11795",,,
327,"WELDON IRVINE","SPIRIT MAN",8,"BMG","11796",,,
328,"WENDELL HARRISON","AN EVENING WITH THE DEVIL",7,"TRIBE","2212",,,
329,"WILLIE COLON","COSA NUESTRA",8,"FA","384",,,
330,"WILLIE COLON","COSA MUESTRA (180 GRAM)",8.75,"FA","384H",,,
331,"WILLIE COLON","EL JUICIO",7,"FA","424",,,
332,"WILLIE COLON","EL JUICIO (180 GRAM)",8.5,"FA","424H",,,
333,"WILLIE COLON","EL MALO",8,"FA","337",,,
334,"WILLIE COLON","THE GOOD, THE BAD, THE UGLY ",8,"FA","484",,,
335,"WILLIE COLON","THE GOOD, THE BAD, THE UGLY (180 GRAM)",8.75,"FA","484H",,,
336,"WILLIE COLON","THE HUSTLER",7,"FA","347",,,
337,"WILLIE COLON","WILLIE",8,"FA","464",,,
338,"WILLIE COLON","WILLIE (180 GRAM)",8.5,"FA","464H",,,
339,"WILLIE DIXON","I AM THE BLUES (180 GRAM)",11.5,"COLUM","9987",,,
340,"WILLIE NELSON","PHASES AND STAGES",9.9,"ATL","7291",,,
341,"WILLIE NELSON","THE POET",4,"ACCO","7236",,,
342,"YOUNGBLOODS","RIDE THE WIND ""GET TOGETHER"" (180 GRAM)",7,"WB","2563",,,
343,"YOUNG-HOLT UNLIMITED","SOULFUL STRUT",7,"BRNS","754144",,,
